Month,Transactions
1.0,1232.0
2.0,1334.0
3.0,2370.0
4.0,2292.0
5.0,2169.0
6.0,1937.0
7.0,1441.0
8.0,2041.0
9.0,3762.0
10.0,3016.0
11.0,2728.0
12.0,1955.0
